"V1","V2","V3"
395,19,18
419,20,18
430,20,19
406,19,19
372,18,18
362,18,17
385,19,17
444,21,18
454,21,19
409,20,17
464,21,20
441,20,20
382,18,19
415,19,20
349,17,18
339,17,17
328,17,16
350,18,16
375,19,16
467,22,18
479,22,19
432,21,17
489,22,20
398,20,16
499,22,21
474,21,21
451,20,21
359,17,19
391,18,20
427,19,21
327,16,18
316,16,17
306,16,16
295,16,15
319,17,15
340,18,15
365,19,15
492,23,18
502,23,19
456,22,17
514,23,20
420,21,16
523,23,21
388,20,15
533,23,22
510,22,22
486,21,22
462,20,22
337,16,19
369,17,20
404,18,21
437,19,22
303,15,18
294,15,17
283,15,16
272,15,15
263,15,14
284,16,14
307,17,14
329,18,14
352,19,14
516,24,18
526,24,19
481,23,17
539,24,20
445,22,16
547,24,21
411,21,15
558,24,22
377,20,14
567,24,23
543,23,23
519,22,23
496,21,23
470,20,23
315,15,19
347,16,20
380,17,21
414,18,22
448,19,23
282,14,18
271,14,17
262,14,16
251,14,15
242,14,14
232,14,13
254,15,13
275,16,13
296,17,13
320,18,13
342,19,13
540,25,18
549,25,19
504,24,17
563,25,20
469,23,16
572,25,21
435,22,15
581,25,22
401,21,14
591,25,23
367,20,13
600,25,24
576,24,24
554,23,24
530,22,24
505,21,24
482,20,24
291,14,19
324,15,20
358,16,21
390,17,22
422,18,23
458,19,24
260,13,18
249,13,17
239,13,16
229,13,15
221,13,14
211,13,13
201,13,12
222,14,12
243,15,12
264,16,12
287,17,12
309,18,12
331,19,12
561,26,18
574,26,19
527,25,17
584,26,20
493,24,16
595,26,21
455,23,15
605,26,22
423,22,14
613,26,23
389,21,13
622,26,24
354,20,12
631,26,25
609,25,25
586,24,25
564,23,25
537,22,25
513,21,25
490,20,25
269,13,19
301,14,20
335,15,21
368,16,22
399,17,23
433,18,24
465,19,25
237,12,18
226,12,17
217,12,16
208,12,15
199,12,14
189,12,13
182,12,12
173,12,11
193,13,11
213,14,11
235,15,11
255,16,11
277,17,11
300,18,11
321,19,11
585,27,18
596,27,19
548,26,17
608,27,20
515,25,16
617,27,21
480,24,15
627,27,22
446,23,14
636,27,23
412,22,13
642,27,24
378,21,12
653,27,25
343,20,11
659,27,26
638,26,26
614,25,26
592,24,26
568,23,26
544,22,26
520,21,26
497,20,26
248,12,19
280,13,20
311,14,21
344,15,22
374,16,23
407,17,24
440,18,25
473,19,26
216,11,18
204,11,17
196,11,16
187,11,15
179,11,14
167,11,13
161,11,12
152,11,11
143,11,10
164,12,10
184,13,10
205,14,10
224,15,10
245,16,10
268,17,10
289,18,10
310,19,10
606,28,18
616,28,19
573,27,17
629,28,20
535,26,16
640,28,21
501,25,15
651,28,22
468,24,14
657,28,23
436,23,13
665,28,24
397,22,12
676,28,25
366,21,11
682,28,26
332,20,10
688,28,27
664,27,27
644,26,27
621,25,27
599,24,27
577,23,27
552,22,27
531,21,27
507,20,27
225,11,19
257,12,20
290,13,21
322,14,22
351,15,23
383,16,24
416,17,25
450,18,26
484,19,27
195,10,18
185,10,17
175,10,16
165,10,15
157,10,14
147,10,13
140,10,12
133,10,11
124,10,10
119,10,9
136,11,9
158,12,9
178,13,9
197,14,9
218,15,9
240,16,9
261,17,9
281,18,9
302,19,9
625,29,18
639,29,19
593,28,17
650,29,20
559,27,16
658,29,21
525,26,15
670,29,22
488,25,14
679,29,23
457,24,13
686,29,24
421,23,12
696,29,25
387,22,11
703,29,26
355,21,10
705,29,27
323,20,9
715,29,28
695,28,28
673,27,28
652,26,28
628,25,28
607,24,28
583,23,28
560,22,28
536,21,28
