"V1","V2","V3","V4","V5","V6","V7"
395,419,430,406,372,362,385
419,444,454,430,395,385,409
430,454,464,441,406,395,419
406,430,441,415,382,372,395
372,395,406,382,349,339,362
362,385,395,372,339,328,350
385,409,419,395,362,350,375
444,467,479,454,419,409,432
454,479,489,464,430,419,444
409,432,444,419,385,375,398
464,489,499,474,441,430,454
441,464,474,451,415,406,430
382,406,415,391,359,349,372
415,441,451,427,391,382,406
349,372,382,359,327,316,339
339,362,372,349,316,306,328
328,350,362,339,306,295,319
350,375,385,362,328,319,340
375,398,409,385,350,340,365
467,492,502,479,444,432,456
479,502,514,489,454,444,467
432,456,467,444,409,398,420
489,514,523,499,464,454,479
398,420,432,409,375,365,388
499,523,533,510,474,464,489
474,499,510,486,451,441,464
451,474,486,462,427,415,441
359,382,391,369,337,327,349
391,415,427,404,369,359,382
427,451,462,437,404,391,415
327,349,359,337,303,294,316
316,339,349,327,294,283,306
306,328,339,316,283,272,295
295,319,328,306,272,263,284
319,340,350,328,295,284,307
340,365,375,350,319,307,329
365,388,398,375,340,329,352
492,516,526,502,467,456,481
502,526,539,514,479,467,492
456,481,492,467,432,420,445
514,539,547,523,489,479,502
420,445,456,432,398,388,411
523,547,558,533,499,489,514
388,411,420,398,365,352,377
533,558,567,543,510,499,523
510,533,543,519,486,474,499
486,510,519,496,462,451,474
462,486,496,470,437,427,451
337,359,369,347,315,303,327
369,391,404,380,347,337,359
404,427,437,414,380,369,391
437,462,470,448,414,404,427
303,327,337,315,282,271,294
294,316,327,303,271,262,283
283,306,316,294,262,251,272
272,295,306,283,251,242,263
263,284,295,272,242,232,254
284,307,319,295,263,254,275
307,329,340,319,284,275,296
329,352,365,340,307,296,320
352,377,388,365,329,320,342
516,540,549,526,492,481,504
526,549,563,539,502,492,516
481,504,516,492,456,445,469
539,563,572,547,514,502,526
445,469,481,456,420,411,435
547,572,581,558,523,514,539
411,435,445,420,388,377,401
558,581,591,567,533,523,547
377,401,411,388,352,342,367
567,591,600,576,543,533,558
543,567,576,554,519,510,533
519,543,554,530,496,486,510
496,519,530,505,470,462,486
470,496,505,482,448,437,462
315,337,347,324,291,282,303
347,369,380,358,324,315,337
380,404,414,390,358,347,369
414,437,448,422,390,380,404
448,470,482,458,422,414,437
282,303,315,291,260,249,271
271,294,303,282,249,239,262
262,283,294,271,239,229,251
251,272,283,262,229,221,242
242,263,272,251,221,211,232
232,254,263,242,211,201,222
254,275,284,263,232,222,243
275,296,307,284,254,243,264
296,320,329,307,275,264,287
320,342,352,329,296,287,309
342,367,377,352,320,309,331
540,561,574,549,516,504,527
549,574,584,563,526,516,540
504,527,540,516,481,469,493
563,584,595,572,539,526,549
469,493,504,481,445,435,455
572,595,605,581,547,539,563
435,455,469,445,411,401,423
581,605,613,591,558,547,572
401,423,435,411,377,367,389
591,613,622,600,567,558,581
367,389,401,377,342,331,354
600,622,631,609,576,567,591
576,600,609,586,554,543,567
554,576,586,564,530,519,543
530,554,564,537,505,496,519
505,530,537,513,482,470,496
482,505,513,490,458,448,470
291,315,324,301,269,260,282
324,347,358,335,301,291,315
358,380,390,368,335,324,347
390,414,422,399,368,358,380
422,448,458,433,399,390,414
458,482,490,465,433,422,448
260,282,291,269,237,226,249
249,271,282,260,226,217,239
239,262,271,249,217,208,229
229,251,262,239,208,199,221
221,242,251,229,199,189,211
211,232,242,221,189,182,201
201,222,232,211,182,173,193
222,243,254,232,201,193,213
243,264,275,254,222,213,235
264,287,296,275,243,235,255
287,309,320,296,264,255,277
309,331,342,320,287,277,300
331,354,367,342,309,300,321
561,585,596,574,540,527,548
574,596,608,584,549,540,561
527,548,561,540,504,493,515
584,608,617,595,563,549,574
493,515,527,504,469,455,480
595,617,627,605,572,563,584
455,480,493,469,435,423,446
605,627,636,613,581,572,595
423,446,455,435,401,389,412
613,636,642,622,591,581,605
389,412,423,401,367,354,378
622,642,653,631,600,591,613
354,378,389,367,331,321,343
631,653,659,638,609,600,622
609,631,638,614,586,576,600
586,609,614,592,564,554,576
564,586,592,568,537,530,554
537,564,568,544,513,505,530
513,537,544,520,490,482,505
490,513,520,497,465,458,482
269,291,301,280,248,237,260
301,324,335,311,280,269,291
335,358,368,344,311,301,324
368,390,399,374,344,335,358
399,422,433,407,374,368,390
433,458,465,440,407,399,422
465,490,497,473,440,433,458
237,260,269,248,216,204,226
226,249,260,237,204,196,217
217,239,249,226,196,187,208
208,229,239,217,187,179,199
199,221,229,208,179,167,189
189,211,221,199,167,161,182
182,201,211,189,161,152,173
173,193,201,182,152,143,164
193,213,222,201,173,164,184
213,235,243,222,193,184,205
235,255,264,243,213,205,224
255,277,287,264,235,224,245
277,300,309,287,255,245,268
300,321,331,309,277,268,289
321,343,354,331,300,289,310
585,606,616,596,561,548,573
596,616,629,608,574,561,585
548,573,585,561,527,515,535
608,629,640,617,584,574,596
515,535,548,527,493,480,501
617,640,651,627,595,584,608
480,501,515,493,455,446,468
627,651,657,636,605,595,617
446,468,480,455,423,412,436
636,657,665,642,613,605,627
412,436,446,423,389,378,397
642,665,676,653,622,613,636
378,397,412,389,354,343,366
653,676,682,659,631,622,642
343,366,378,354,321,310,332
659,682,688,664,638,631,653
638,659,664,644,614,609,631
614,638,644,621,592,586,609
592,614,621,599,568,564,586
568,592,599,577,544,537,564
544,568,577,552,520,513,537
520,544,552,531,497,490,513
497,520,531,507,473,465,490
248,269,280,257,225,216,237
280,301,311,290,257,248,269
311,335,344,322,290,280,301
344,368,374,351,322,311,335
