instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
5-HTPMPV01_L,1,0,CB input,2.99373164222999,0.17344544387954633,0.4624560031286664,0.3640985529917872,0.03723482,,105.33039762646888,-1.0
5-HTPMPV03_R,1,0,CB input,2.9978488680713347,0.23081020299461444,0.17133218914600226,0.5978576078593834,0.024926115,,109.35245308638183,-1.0
5thsLNv_LNd6_R,2,1,OL output,2.376960914816695,0.00847831117949636,0.2645219616237519,0.7269997271967518,0.091366194,3.0,159.69669778378687,-0.5394662760135333
AOTU045_R,1,-1,OL output,2.330719424133242,0.001149425287356322,0.031034482758620693,0.9678160919540231,0.08798998,7.0,34.57410695023088,0.07179436183047938
Am1_R,1,-1,OL internal,2.7914786536267853,0.7984317343173432,0.20100673832825286,0.0005615273544039789,0.14317054,,138.13529059293043,-1.0
C2_R,874,-1,OL internal,1.0,0.45518360181638395,0.408345263345384,0.1364711348382321,0.3069307,,1.3067152196789014,0.515616846080403
C3_R,892,-1,OL internal,1.0,0.21323146290295542,0.5400607581565456,0.24670777894049906,0.4127016,,1.3043436397136088,0.5135959577563627
CL125_R,2,-1,OL output,2.136526975292823,0.000946969696969697,0.1700742662848962,0.8289787640181341,0.06529142,1.0,89.51509639526606,0.09426179293058845
CT1_L,1,-1,OL internal,2.0075282532710927,0.07577876037105119,0.9234760143934931,0.0007452252354556875,0.20598699,,139.12785367738456,-1.0
Cm-DRA_R,3,1,OL internal,1.6030569406862396,0.6365659073059827,0.3512416886759393,0.01219240401807802,0.20926817,,44.17928394433893,0.043646128476914736
Cm10_R,45,-1,OL internal,2.025340754521868,0.14396042720280086,0.8416777249527392,0.014361847844459945,0.15350053,,13.611684459795338,0.4346691324614461
Cm11a_R,40,1,OL internal,2.0069870788712603,0.8023307551844963,0.19721404196714407,0.0004552028483596646,0.17871942,,8.810264539501295,0.2552553708758016
Cm11b_R,30,1,OL internal,2.001156388597322,0.9809714322258336,0.019028567774166366,0.0,0.17190239,,20.302218036349966,-0.2171407806441158
Cm11c_R,23,1,OL internal,2.0202983144732767,0.8854545454545454,0.11454545454545455,0.0,0.17922646,,31.784989888762933,-0.05485297412035517
Cm11d_R,9,1,OL internal,1.411061305264051,0.0008539709649871904,0.8958155422715628,0.10333048676345004,0.2080882,,62.09926442259313,0.02666756430346895
Cm12_R,35,-1,OL internal,2.3876761866333323,0.0706287368392279,0.9245933171742816,0.004777945986490441,0.09056146,,42.64898686544865,0.03037984932166715
Cm13_R,27,-1,OL internal,2.001328165947524,0.6651736572664179,0.3239126325391239,0.01091371019445825,0.18441103,,26.750844700556517,-0.2240875193861196
Cm14_R,23,-1,OL internal,1.7440788378616876,0.13562592663375897,0.8339362854836007,0.03043778788264028,0.17110676,,21.1413141548123,0.14813471257820743
Cm15_R,22,-1,OL internal,2.4087077383655053,0.268316393842449,0.728732010776496,0.002951595381055043,0.13351509,,17.62072447971503,0.46160534336776315
Cm16_R,17,-1,OL internal,2.406951232398299,0.0433161986093175,0.9519077818506221,0.004776019540060361,0.09063691,,32.85359661894673,0.192474455091872
Cm17_R,16,-1,OL internal,2.042025405521593,0.269637496730062,0.713117053024935,0.017245450245002885,0.15338515,,27.662673136643388,-0.22671462827384914
Cm18_R,14,-1,OL internal,1.7404526134418463,0.06671773514022267,0.9218756234393992,0.011406641420378125,0.18982583,,6.466740102619915,0.3418418989694101
Cm19_R,14,-1,OL internal,2.0313994771860324,0.27508577468032674,0.7212065450731113,0.003707680246561871,0.11792347,,26.60034212326447,-0.1071881961897676
Cm1_R,231,1,OL internal,1.761864670314401,0.05395750061503218,0.9056963883723206,0.04034611101264718,0.14073163,,2.9933532284309443,0.5921698459477949
Cm20_R,13,-1,OL internal,2.0371591038452963,0.378100550425795,0.6019232864072381,0.01997616316696676,0.16334835,,34.31010690484794,0.003154025064443289
Cm21_R,13,-1,OL internal,1.9872614718841453,0.5492055021392096,0.4404342825596908,0.010360215301099507,0.19292262,,37.64660767191678,-0.32710040693383613
Cm22_R,10,-1,OL internal,2.000659843443725,0.45934270516811726,0.5378497778812059,0.0028075169506768536,0.18226969,,26.0423763778941,0.009229647322319234
Cm23_R,8,-1,OL internal,2.3099999161553013,0.1414309919056645,0.8574091896808875,0.0011598184134479915,0.12611438,,153.91418445058707,-0.19081911453023548
Cm24_R,5,-1,OL internal,2.494569564222277,0.0904522856326819,0.896462751666481,0.013084962700836991,0.088534884,,58.070621228508614,-0.0011543408989778126
Cm25_R,3,-1,OL internal,2.2117570723317828,0.04805020106691465,0.9472753924620316,0.004674406471053818,0.109267056,,48.42494665194303,-0.003902477405265614
Cm26_R,6,-1,OL internal,2.0625161221032813,0.27707532946103947,0.7220124924789939,0.0009121780599667086,0.14009371,,41.245617082162,0.2444250035489705
Cm27_R,5,-1,OL internal,1.9945441001751083,0.12009803921568628,0.8700980392156863,0.00980392156862745,0.08661311,,47.776786065171706,0.050560535510381865
Cm28_R,6,-1,OL internal,2.021746868590334,0.21154805743134722,0.7819301142551106,0.006521828313542141,0.18377027,,81.60212647285367,-0.05217006738636337
Cm29_R,3,-1,OL internal,2.111640647658802,0.08757774415868214,0.911413682971928,0.0010085728693898135,0.1364945,,117.9716739109459,-1.0
Cm2_R,203,1,OL internal,1.6951198198574562,0.09156458573458065,0.8093655346181682,0.09906987964725118,0.1800829,,2.59782917499842,0.6911653396062676
Cm30_R,2,-1,OL internal,2.2738940437253152,0.16837756403003232,0.828624874571159,0.0029975613988087713,0.12809227,,156.0485440210317,-0.6802527764988983
Cm31a_R,2,-1,OL internal,2.0618170125388504,0.1189923453488708,0.875830181804105,0.00517747284702416,0.12782328,,103.77657930351555,-1.0
Cm31b_R,1,-1,OL internal,2.0514759722033595,0.2540302882266732,0.7317483580307225,0.014221353742604354,0.15217969,,140.21644843098952,-1.0
Cm32_R,1,-1,OL internal,2.0242497222733955,0.0837572058324856,0.9155645981688708,0.0006781959986436081,0.14767757,,111.27072280462428,-0.5496847498923803
Cm33_R,1,-1,OL internal,2.0360697189390566,0.056132472635419595,0.920011226494527,0.023856300870053325,0.18793187,,94.61776702411532,-0.19327316422299412
Cm34_R,1,-1,OL internal,2.544166998200496,0.4719150265542018,0.5239300218681662,0.0041549515776319905,0.12090822,,129.7532249403043,-1.0
Cm35_R,1,-1,OL internal,1.98948855728694,0.9334997064004698,0.0642982971227246,0.002201996476805637,0.20779766,,82.18640079214508,-1.0
