instance,count,sign,layer,VIC,cluster,size,r2
5-HTPLP01_L,1,-1,4.600225637,2.68E-05,,,
5-HTPLP01_R,1,-1,3.852133284,0.02752474,7,124.5228524,-1
5-HTPMPD01_L,1,0,4.964282777,1.17E-05,,,
5-HTPMPD01_R,1,0,4.635970502,2.78E-05,,,
5-HTPMPV01_L,1,0,2.993731642,0.03723482,1,105.3303976,-1
5-HTPMPV01_R,1,0,3.119129687,0.029966852,1,95.17744407,-1
5-HTPMPV03_L,1,0,3.064380136,0.019853018,1,113.3412066,-0.504697771
5-HTPMPV03_R,1,0,2.997848868,0.024926115,1,109.3524531,-1
aDT4_L,2,0,4.325939124,0.000207775,,,
aDT4_R,2,0,4.043302898,0.000663614,6,98.05638878,-0.011093993
aIPg_m1_L,2,1,4.560030518,8.87E-05,,,
aIPg_m1_R,2,1,3.963125079,0.009837267,7,109.8835395,-1
aIPg_m2_L,2,1,4.453457765,7.23E-05,,,
aIPg_m2_R,2,1,3.989352598,0.011733558,7,116.0031524,-1
aIPg_m3_L,1,1,4.321021391,0.000114266,,,
aIPg_m3_R,1,1,3.947175037,0.01315356,7,117.3260301,-1
aIPg_m4_L,1,1,4.79691532,2.36E-05,,,
aIPg_m4_R,1,1,4.033875421,0.009748672,7,111.1395482,-1
aIPg1_L,4,1,4.537809752,0.0001057,,,
aIPg1_R,4,1,4.136298336,0.005202506,7,91.40361498,-0.741313058
aIPg10_L,2,1,4.687283496,3.36E-05,,,
aIPg10_R,2,1,4.266246232,0.008458001,7,111.3769895,-1
aIPg2_L,3,1,4.496299587,3.63E-05,,,
aIPg2_R,3,1,4.027793029,0.004915764,7,113.916326,-0.806744143
aIPg4_L,1,1,4.439782065,8.03E-05,,,
aIPg4_R,1,1,3.882625269,0.007114492,8,121.316684,-0.666955846
aIPg5_L,3,1,4.704726146,3.58E-05,,,
aIPg5_R,3,1,4.339461168,0.006887149,7,108.9188036,-1
aIPg6_L,3,1,4.57553,8.64E-05,,,
aIPg6_R,2,1,4.268569182,0.000533996,2,34.55221112,0.014065579
aIPg7_L,3,1,4.566222669,0.000226245,,,
aIPg7_R,4,1,4.392673678,0.000503703,7,22.17181306,0.196959275
aIPg8_L,1,1,4.612696096,2.60E-05,,,
aIPg8_R,2,1,4.052087986,0.009414491,7,115.4950335,-1
aIPg9_L,2,1,4.374566871,0.00030302,,,
aIPg9_R,1,1,4.012452923,0.011173188,7,119.5818337,-1
AL-AST1_L,1,1,5.100750504,0,,,
AL-AST1_R,2,1,5.092616122,0,,,
ALBN1_L,1,0,5.57822929,0,,,
ALBN1_R,1,0,5.52426006,0,,,
ALIN1_L,2,0,4.862505684,6.70E-06,,,
ALIN1_R,2,0,4.629851577,1.06E-05,,,
ALIN2_L,1,1,4.689005236,3.38E-06,,,
ALIN2_R,1,1,4.309435862,0.000759525,2,30.21657632,-1
ALIN3_L,2,1,4.702496844,1.34E-05,,,
ALIN3_R,2,1,3.774454773,0.003341233,2,62.25811319,-0.099153065
ALIN4_L,1,-1,4.894101436,3.60E-06,,,
ALIN4_R,1,-1,4.789656199,4.38E-06,,,
ALIN5_L,1,-1,4.697145096,9.91E-06,,,
ALIN5_R,1,-1,4.64648735,8.09E-06,,,
ALIN6_L,1,-1,4.720947633,1.18E-05,,,
ALIN6_R,1,-1,4.356959732,0.000439217,,,
ALIN7_L,1,-1,5.02366707,4.71E-06,,,
ALIN7_R,1,-1,5.044017621,0,,,
ALIN8_L,1,1,4.787533764,0,,,
ALIN8_R,1,1,4.999173046,0,,,
AL-MBDL1_L,1,1,4.941881847,0,,,
AL-MBDL1_R,1,1,4.350764818,0.000294735,,,
ALON1_L,1,1,5.236271304,0,,,
ALON1_R,1,1,4.825479419,6.07E-05,,,
ALON2_L,1,1,5.178275883,1.20E-05,,,
ALON2_R,1,1,4.945475431,6.06E-05,,,
ALON3_L,2,-1,5.173217508,0,,,
ALON3_R,2,-1,5.076788319,0,,,
